statistic,all,imputed,nongoers
"prop_attending_college",.6183021918,,
"prop_attending_college_insample",.5307015191,,
"prop_never_attending",.2664782297,,.69813927
"par_mean_overall",87335.35418,114305.88,50376.701
"parent_20th_pctile_earnings",24633.33333,,
"parent_40th_pctile_earnings",45766.66667,,
"parent_60th_pctile_earnings",73500,,
"parent_80th_pctile_earnings",111066.6667,,
"parent_99th_pctile_earnings",532266.6667,,
"k_mean_overall",35525.61274,46178.582,20255.752
"kid_20th_pctile_earnings",900,,
"kid_40th_pctile_earnings",18500,,
"kid_60th_pctile_earnings",35200,,
"kid_80th_pctile_earnings",55800,,
"kid_99th_pctile_earnings",182466.6667,,
"employment",.81676604,.88601725,.709562
"total_count",10757269,6244161.5,4106026
