tier_name,access20,access60,top1percent,par_median,k_median,slope_inschool,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,numcollege,numstudents
Ivy Plus,3.755405507928079,18.24216675517791,14.51900452375412,171000,82500,,57.97979951506915,12.77777795802163,2.177376612854594,.4798573834808479,12,52724
Other elite schools (public and private),4.337049458344432,21.36998363890354,10.00472903251648,141900,65400,,50.62037911095676,5.802732185304336,2.195430891630067,.2516673663693626,62,183973
Highly selective public,5.46108733877443,29.02085641395712,2.496518939733505,107300,53600,,40.68955884726046,2.66610830815562,2.222092372877246,.1455985049888575,26,393548
Highly selective private,4.094020790764963,23.87805932974392,7.023967802524567,124700,56500,,42.34972657184565,3.333333324647776,1.733806610143172,.1364673592940498,66,134098
Selective public,8.362250151999762,39.81884508986762,1.347011048346758,87100,41600,,23.29164858535343,.7030860667424391,1.947705923363758,.0587938158095818,364,1944082
Selective private,7.081412831825687,37.35057060461906,2.382038161158562,90700,44400,,27.03329850122643,1.000696127606578,1.914339467536417,.0708634239362697,446,486852
Nonselective four-year public,17.03095550195072,59.5166256874045,.5906443111598492,61200,29800,,13.52157583825616,.1935557313107542,2.302853548418696,.0329643902454517,71,257854
Nonselective four-year private not-for-profit,10.67617566625556,45.16059842350796,1.960784383118153,80500,29000,,13.61125066075595,.4185501504617731,1.453161039380795,.0446851495749501,50,55947
Two-year (public and private not-for-profit),14.60223374200017,55.41781621221589,.4555638413876295,66900,29800,,12.31125726301731,.1795532860837241,1.797718562972125,.026218790537746,604,2021451
Four-year for-profit,21.10692322951796,66.77722674072606,.4649871028959751,51500,28900,,12.19924809565221,.1503759409599462,2.574885936093567,.0317397344876197,56,126025
Two-year for-profit,20.64141044123557,67.31264623165458,.2741474192589521,51500,31300,,13.10968645700115,.1717426151835142,2.706024201711498,.0354500982671193,34,42313
Less than two-year schools of any type,20.85326953748007,65.72966507177034,,53000,18800,,7.743785941499651,.1912045958549866,1.600632357562406,.0395217875793795,13,10032
All good-quality colleges,10.79852700144104,45.00561316639157,1.674928913613641,80500,38100,,18.01932596495941,.5935339015322062,1.945821789942138,.0640929189536052,1804,5708899
