super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,mr_kq5_pq1,mr_ktop1_pq1,par_q1,par_q2,par_q3,par_q4,par_q5,normed_par_q1,normed_par_q2,normed_par_q3,normed_par_q4,normed_par_q5,normed_mr_kq5_pq1,normed_mr_ktop1_pq1
5378,Northeast State Community College,Public,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Two-year,South,TN,100,Johnson City,47163,Sullivan,0,701.3333333333334,.011879724,.000063317726,.14266531,.20020103,.29054821,.25283343,.11375205,.12094074,.17164753,.23823233,.28569129,.18348807,.010070723,.000053675929
3511,Milligan College,Private Non-profit,Selective private,Selective private,Four-year,South,TN,100,Johnson City,47019,Carter,0,164.6666666666667,.0095936423,0,.053851921,.11699723,.19368754,.30237374,.33308947,.042105436,.092802145,.17072663,.30205369,.39231211,.0075010234,0
3496,King University,Private Non-profit,Selective private,Selective private,Four-year,South,TN,100,Johnson City,47163,Sullivan,0,121.6666666666667,.00034503455,.000021513628,.074696749,.16227946,.24794412,.2468614,.26821834,.060322832,.13295022,.22573373,.25470433,.32628894,.00027863946,.000017373754
3527,Tusculum College,Private Non-profit,Selective private,Selective private,Four-year,South,TN,100,Johnson City,47059,Greene,0,189,.0066619669,.000040778104,.12882262,.20843299,.20464143,.24357037,.21453257,.10687679,.17542973,.19140242,.25817776,.26811329,.005527054,.000033831268
3487,East Tennessee State University,Public,Selective public,Selective public,Four-year,South,TN,100,Johnson City,47179,Washington,0,1442.333333333333,.014986984,.00022668547,.1034819,.1347515,.23970272,.27760601,.24445795,.083903894,.11084007,.2191055,.28757402,.29857656,.012151557,.00018379826
3709,Emory & Henry College,Private Non-profit,Selective private,Selective private,Four-year,South,VA,100,Johnson City,51191,Washington,0,226,.015035091,.000047707228,.071854308,.13248706,.20360911,.28264785,.30940169,.085979834,.14890653,.21588209,.2931518,.25607973,.017990775,.000057085785
7099,Virginia Highlands Community College,Public,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Two-year,South,VA,100,Johnson City,51191,Washington,0,334,.013371324,0,.19285116,.21531437,.28360793,.22207624,.086150318,.16844803,.19021018,.23960194,.25855568,.14318416,.011679335,0
8863,Walters State Community College,Public,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Two-year,South,TN,200,Morristown,47063,Hamblen,0,1083,.011653473,.00026276769,.18398106,.22277395,.27398509,.22686112,.092398897,.1213651,.16510019,.22264256,.27141333,.21947888,.0076873396,.00017333755
5351,Tennessee College Of Applied Technology - Morristown,Public,Two-year (public and private not-for-profit),Two-year (public and private not-for-profit),Two-year,South,TN,200,Morristown,47063,Hamblen,0,136.5,.013299856,.00025160858,.23519336,.25125283,.27395082,.18176325,.057839744,.16885614,.20265868,.24228412,.23667279,.14952829,.0095485793,.00018064139
3481,Carson - Newman University,Private Non-profit,Selective private,Selective private,Four-year,South,TN,200,Morristown,47089,Jefferson,0,388,.015280725,0,.094424881,.14956883,.19862038,.25735521,.30003074,.075489201,.12130675,.1790131,.26286602,.36132497,.012216375,0
